beta, IZY, IZX, acc, avg_acc, err, avg_err
1.00E+00,0.161070709,0.406979024,0.209043999,0.514118335,0.790956001,0.485881665
1.00E-01,2.8713169,7.755198002,0.910529333,0.991230329,0.089470667,0.008769671
1.00E-02,3.251934156,19.4876976,0.989832664,0.999130665,0.010167336,0.000869335
1.00E-03,3.306725364,46.89214706,0.998513669,0.999941674,0.001486331,5.83E-05
1.00E-04,3.317974191,121.2360916,0.999851334,0.999993993,0.000148666,6.01E-06
1.00E-05,3.320887175,288.6040649,0.999990661,1,9.34E-06,0
1.00E-06,3.321533947,610.8252563,1,1,0,0
1.00E-07,3.321654339,1197.129761,1,1,0,0
1.00E-08,3.321658378,1894.167358,1,1,0,0
1.00E-09,3.32165297,2198.38623,1,1,0,0
1.00E-10,3.321653748,2245.782471,1,1,0,0
1.00E-11,3.32163157,2222.711426,1,1,0,0
1.00E-12,3.32166996,2216.905029,1,1,0,0
