beta, IZY, IZX, acc, avg_acc, err, avg_err
1.00E+00,0.009482012,0.008860477,0.120678,0.128124333,0.879322,0.871875667
1.00E-01,3.060505466,6.34108448,0.946751335,0.990585334,0.053248665,0.009414666
1.00E-02,3.278089685,13.766119,0.992651333,0.999040666,0.007348667,0.000959334
1.00E-03,3.311376243,31.82708168,0.99950833,0.999976324,0.00049167,2.37E-05
1.00E-04,3.318025832,90.58857727,0.999976994,0.999983311,2.30E-05,1.67E-05
1.00E-05,3.320327187,258.9162903,1,1,0,0
1.00E-06,3.320413942,455.804718,1,1,0,0
1.00E-07,3.320810447,553.833313,1,1,0,0
1.00E-08,3.320722613,580.4966431,1,1,0,0
1.00E-09,3.320245481,599.5674438,1,1,0,0
1.00E-10,3.319139185,680.7216797,0.999949992,0.999949992,5.00E-05,5.00E-05
1.00E-11,3.320758009,689.0273438,1,1,0,0
1.00E-12,3.32060636,665.4102173,1,1,0,0
