beta, IZY, IZX, acc, avg_acc, err, avg_err
beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,0.45233496189117434,1.0720782279968262,0.3160576283931732,0.82861820936203,0.6839423716068268,0.17138179063796996
1.E-1,2.8214579105377195,8.102102279663086,0.9195546829700469,0.9991879534721374,0.080445317029953,0.0008120465278625488
1.E-2,3.2464836025238037,20.50739288330078,0.9943287658691407,1.0,0.005671234130859375,0.0
1.E-3,3.307316823005676,44.755489349365234,0.9994891965389252,1.0,0.0005108034610748291,0.0
1.E-4,3.3183974838256836,104.35953521728516,0.9999345123767853,1.0,6.548762321472168e-05,0.0
1.E-5,3.3207530975341797,236.50125122070312,1.0,1.0,0.0,0.0
1.E-6,3.321171383857727,532.046875,1.0,1.0,0.0,0.0
1.E-7,3.3212036752700804,1538.8170166015625,1.0,1.0,0.0,0.0
1.E-8,3.321192765235901,1838.289306640625,1.0,1.0,0.0,0.0
1.E-9,3.321251640319824,1872.072265625,1.0,1.0,0.0,0.0
1.E-10,3.321236672401428,1878.615234375,1.0,1.0,0.0,0.0
1.E-11,3.3212454319000244,1853.979736328125,1.0,1.0,0.0,0.0
1.E-12,3.321244673728943,1866.2694091796875,1.0,1.0,0.0,0.0
