Training beginning...
0: IZY=2.71	IZX=78.96	acc=0.8826	avg_acc=0.8862	err=0.1174	avg_err=0.1138
1: IZY=2.90	IZX=76.14	acc=0.9181	avg_acc=0.9201	err=0.0819	avg_err=0.0799
2: IZY=2.98	IZX=73.76	acc=0.9348	avg_acc=0.9345	err=0.0652	avg_err=0.0655
3: IZY=3.02	IZX=70.65	acc=0.9406	avg_acc=0.9433	err=0.0594	avg_err=0.0567
4: IZY=3.04	IZX=68.17	acc=0.9454	avg_acc=0.9470	err=0.0546	avg_err=0.0530
5: IZY=3.08	IZX=65.38	acc=0.9520	avg_acc=0.9533	err=0.0480	avg_err=0.0467
6: IZY=3.10	IZX=64.08	acc=0.9563	avg_acc=0.9582	err=0.0437	avg_err=0.0418
7: IZY=3.12	IZX=63.04	acc=0.9598	avg_acc=0.9609	err=0.0402	avg_err=0.0391
8: IZY=3.12	IZX=61.72	acc=0.9607	avg_acc=0.9628	err=0.0393	avg_err=0.0372
9: IZY=3.13	IZX=60.45	acc=0.9613	avg_acc=0.9632	err=0.0387	avg_err=0.0368
10: IZY=3.15	IZX=59.11	acc=0.9641	avg_acc=0.9660	err=0.0359	avg_err=0.0340
11: IZY=3.15	IZX=58.79	acc=0.9643	avg_acc=0.9667	err=0.0357	avg_err=0.0333
12: IZY=3.16	IZX=56.49	acc=0.9665	avg_acc=0.9682	err=0.0335	avg_err=0.0318
13: IZY=3.16	IZX=55.63	acc=0.9668	avg_acc=0.9679	err=0.0332	avg_err=0.0321
14: IZY=3.17	IZX=54.88	acc=0.9692	avg_acc=0.9716	err=0.0308	avg_err=0.0284
15: IZY=3.17	IZX=54.60	acc=0.9697	avg_acc=0.9717	err=0.0303	avg_err=0.0283
16: IZY=3.18	IZX=54.36	acc=0.9705	avg_acc=0.9734	err=0.0295	avg_err=0.0266
17: IZY=3.18	IZX=54.03	acc=0.9696	avg_acc=0.9715	err=0.0304	avg_err=0.0285
18: IZY=3.18	IZX=53.47	acc=0.9733	avg_acc=0.9742	err=0.0267	avg_err=0.0258
19: IZY=3.18	IZX=52.41	acc=0.9718	avg_acc=0.9733	err=0.0282	avg_err=0.0267
20: IZY=3.18	IZX=51.61	acc=0.9715	avg_acc=0.9741	err=0.0285	avg_err=0.0259
21: IZY=3.19	IZX=52.21	acc=0.9739	avg_acc=0.9752	err=0.0261	avg_err=0.0248
22: IZY=3.19	IZX=51.32	acc=0.9726	avg_acc=0.9741	err=0.0274	avg_err=0.0259
23: IZY=3.19	IZX=50.73	acc=0.9723	avg_acc=0.9740	err=0.0277	avg_err=0.0260
24: IZY=3.19	IZX=50.45	acc=0.9740	avg_acc=0.9752	err=0.0260	avg_err=0.0248
25: IZY=3.20	IZX=49.22	acc=0.9742	avg_acc=0.9761	err=0.0258	avg_err=0.0239
26: IZY=3.19	IZX=48.68	acc=0.9720	avg_acc=0.9756	err=0.0280	avg_err=0.0244
27: IZY=3.20	IZX=47.78	acc=0.9744	avg_acc=0.9750	err=0.0256	avg_err=0.0250
28: IZY=3.20	IZX=48.29	acc=0.9743	avg_acc=0.9759	err=0.0257	avg_err=0.0241
29: IZY=3.20	IZX=47.69	acc=0.9756	avg_acc=0.9767	err=0.0244	avg_err=0.0233
30: IZY=3.20	IZX=47.84	acc=0.9734	avg_acc=0.9760	err=0.0266	avg_err=0.0240
31: IZY=3.20	IZX=46.38	acc=0.9742	avg_acc=0.9753	err=0.0258	avg_err=0.0247
32: IZY=3.20	IZX=46.01	acc=0.9746	avg_acc=0.9761	err=0.0254	avg_err=0.0239
33: IZY=3.20	IZX=46.47	acc=0.9746	avg_acc=0.9769	err=0.0254	avg_err=0.0231
34: IZY=3.20	IZX=46.03	acc=0.9742	avg_acc=0.9768	err=0.0258	avg_err=0.0232
35: IZY=3.20	IZX=44.88	acc=0.9750	avg_acc=0.9762	err=0.0250	avg_err=0.0238
36: IZY=3.20	IZX=44.92	acc=0.9768	avg_acc=0.9770	err=0.0232	avg_err=0.0230
37: IZY=3.20	IZX=45.66	acc=0.9742	avg_acc=0.9761	err=0.0258	avg_err=0.0239
38: IZY=3.20	IZX=44.99	acc=0.9765	avg_acc=0.9780	err=0.0235	avg_err=0.0220
39: IZY=3.20	IZX=44.08	acc=0.9746	avg_acc=0.9767	err=0.0254	avg_err=0.0233
40: IZY=3.21	IZX=43.87	acc=0.9759	avg_acc=0.9780	err=0.0241	avg_err=0.0220
41: IZY=3.21	IZX=43.96	acc=0.9765	avg_acc=0.9779	err=0.0235	avg_err=0.0221
42: IZY=3.21	IZX=43.54	acc=0.9756	avg_acc=0.9779	err=0.0244	avg_err=0.0221
43: IZY=3.21	IZX=42.91	acc=0.9768	avg_acc=0.9778	err=0.0232	avg_err=0.0222
44: IZY=3.20	IZX=43.36	acc=0.9743	avg_acc=0.9766	err=0.0257	avg_err=0.0234
45: IZY=3.20	IZX=43.02	acc=0.9765	avg_acc=0.9774	err=0.0235	avg_err=0.0226
46: IZY=3.20	IZX=43.01	acc=0.9768	avg_acc=0.9771	err=0.0232	avg_err=0.0229
47: IZY=3.21	IZX=42.29	acc=0.9764	avg_acc=0.9785	err=0.0236	avg_err=0.0215
48: IZY=3.20	IZX=42.49	acc=0.9758	avg_acc=0.9769	err=0.0242	avg_err=0.0231
49: IZY=3.20	IZX=42.06	acc=0.9749	avg_acc=0.9771	err=0.0251	avg_err=0.0229
50: IZY=3.20	IZX=41.02	acc=0.9760	avg_acc=0.9775	err=0.0240	avg_err=0.0225
51: IZY=3.21	IZX=42.76	acc=0.9760	avg_acc=0.9782	err=0.0240	avg_err=0.0218
52: IZY=3.21	IZX=41.73	acc=0.9768	avg_acc=0.9779	err=0.0232	avg_err=0.0221
53: IZY=3.20	IZX=41.74	acc=0.9752	avg_acc=0.9775	err=0.0248	avg_err=0.0225
54: IZY=3.20	IZX=41.37	acc=0.9752	avg_acc=0.9768	err=0.0248	avg_err=0.0232
55: IZY=3.21	IZX=40.07	acc=0.9775	avg_acc=0.9779	err=0.0225	avg_err=0.0221
56: IZY=3.21	IZX=40.34	acc=0.9772	avg_acc=0.9775	err=0.0228	avg_err=0.0225
57: IZY=3.21	IZX=40.10	acc=0.9758	avg_acc=0.9786	err=0.0242	avg_err=0.0214
58: IZY=3.21	IZX=40.36	acc=0.9773	avg_acc=0.9781	err=0.0227	avg_err=0.0219
59: IZY=3.21	IZX=39.64	acc=0.9753	avg_acc=0.9781	err=0.0247	avg_err=0.0219
60: IZY=3.21	IZX=39.67	acc=0.9760	avg_acc=0.9789	err=0.0240	avg_err=0.0211
61: IZY=3.21	IZX=39.64	acc=0.9765	avg_acc=0.9786	err=0.0235	avg_err=0.0214
62: IZY=3.21	IZX=39.32	acc=0.9766	avg_acc=0.9793	err=0.0234	avg_err=0.0207
63: IZY=3.20	IZX=38.63	acc=0.9767	avg_acc=0.9791	err=0.0233	avg_err=0.0209
64: IZY=3.21	IZX=39.01	acc=0.9777	avg_acc=0.9784	err=0.0223	avg_err=0.0216
65: IZY=3.21	IZX=39.00	acc=0.9751	avg_acc=0.9786	err=0.0249	avg_err=0.0214
66: IZY=3.20	IZX=38.73	acc=0.9758	avg_acc=0.9780	err=0.0242	avg_err=0.0220
67: IZY=3.21	IZX=38.94	acc=0.9763	avg_acc=0.9776	err=0.0237	avg_err=0.0224
